Category;ProductNaam;ProductNaamEngels;Eenheid;EenheidGewicht;Energie;Eiwit;Koolhydraat;VetTotaal;VetVerzadigd;VetOnverzadigd;VetzurenTrans;Linolzuur;Cholesterol;Alcohol;Vezels;Na;Ca;Fe;Mg;Se;Zn;K;P;VitamineA;VitamineB1;VitamineB2;VitamineB6;VitamineB12;VitamineC;VitamineD;VitamineE;Foliumzuur;Nicotz;totMdisac;totPdisac;eiwitP;PEiw,,,
Aardappel, rijst, pasta;Ovenfrites diepvries bereid mz;Oven Fries Frozen prepared mz;portie;150;286;6;46;9;4;5;0.4;1.8;1;0;3.2;150;15;0.9;63;1;0.28;800;100;0;0.14;0.07;0.72;0;8;0;0.2;14;3.1;0.7;45.3;23;17.2,
Aardappel, rijst, pasta;Ovenfrites diepvries bereid zz;Frozen oven fries prepared zz;portie;150;286;6;46;9;4;5;0.4;1.8;1;0;3.2;55;15;0.9;63;1;0.28;800;100;0;0.14;0.07;0.72;0;8;0;0.2;14;3.1;0.7;45.3;23;17.2,
Aardappel, rijst, pasta;Pasta gekookt mz;Pasta cooked mz;groentelepel punt;45;94;3;19;1;0;0;0;0.2;0;0;0.6;150;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Pasta gekookt zz;Pasta cooked zz;groentelepel punt;45;94;3;19;1;0;0;0;0.2;0;0;0.6;2;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Pomtajer rauw;Pomtajer raw;eetlepel punt;45;132;2;31;0;0;0;0;0;0;0;2;;10;0.9;;;;480;45;0;0.07;0.02;0.09;0;16;0;;15;0.5;5;26;8;22.5,
Aardappel, rijst, pasta;Rijst gekookt mz;Rice cooked mz;groentelepel punt;55;147;3;33;0;0;0;0;0.1;0;0;0.5;150;14;0.4;7;1;0.49;17;40;0;0.02;0;0.03;0;0;0;0.1;21;0.9;0;32.7;12;12.9,
Aardappel, rijst, pasta;Rijst gekookt zz;Rice cooked zz;groentelepel punt;55;147;3;33;0;0;0;0;0.1;0;0;0.5;3;14;0.4;7;1;0.49;17;40;0;0.02;0;0.03;0;0;0;0.1;21;0.9;0;32.7;12;12.9,
Aardappel, rijst, pasta;Rijst geslepen onbereid;Uncooked rice cut;kopje;120;349;7;78;1;0;1;0;0.4;0;0;1.3;2;10;0.4;13;10;1.3;100;100;0;0.04;0.03;0.12;0;0;0;0.1;20;1;0;78;28;14.3,
Aardappel, rijst, pasta;Rijst parboiled gekookt mz;Parboiled rice cooked mz;groentelepel punt;55;136;3;31;0;0;0;0;0;0;0;0.5;150;20;0.8;90;;0.66;20;30;0;0.05;0.01;0.04;0;0;0;;12;;0;31;12;10,
Aardappel, rijst, pasta;Rijst parboiled gekookt zz;Parboiled rice cooked zz;groentelepel punt;55;136;3;31;0;0;0;0;0;0;0;0.5;3;20;0.8;90;;0.66;20;30;0;0.05;0.01;0.04;0;0;0;;12;;0;31;12;10,
Aardappel, rijst, pasta;Rijst rauw;Raw rice;kopje;120;349;7;78;1;0;1;0;0.4;0;0;1.3;2;10;0.4;13;10;1.3;100;100;0;0.04;0.03;0.12;0;0;0;0.1;20;1;0;78;28;14.3,
Aardappel, rijst, pasta;Rijst zilvervlies- gekookt mz;Unpolished rice, cooked mz;groentelepel punt;60;119;3;24;1;0;1;0;0.5;0;0;1.4;150;8;0.6;46;9;0.9;99;140;0;0.1;0.04;0.09;0;0;0;0.2;5;1.3;0;23.6;12;45.2
Aardappel, rijst, pasta;Rijst zilvervlies- gekookt zz;Unpolished rice, cooked zz;groentelepel punt;60;119;3;24;1;0;1;0;0.5;0;0;1.4;9;8;0.6;46;9;0.9;99;140;0;0.1;0.04;0.09;0;0;0;0.2;5;1.3;0;23.6;12;45.2
Aardappel, rijst, pasta;Rijst zilvervlies- rauw;Brown rice, raw;kopje;90;351;8;74;3;1;2;0;1;0;0;3;1;12;1.3;157;2;0.8;250;300;0;0.34;0.03;0.25;0;0;0;0.8;36;6.1;1;71;33;36.1
Aardappel, rijst, pasta;Rosti bereid z vet;Rosti prepared fat z;aardappellepel;50;145;2;23;5;1;4;0;2.6;0;0;2;5;15;0.4;;;;201;100;0;0.14;0.07;0.4;0;;0;;14;3.1;2.3;20.5;8;52.6,
Aardappel, rijst, pasta;Rosti rauw;Rosti raw;aardappellepel;50;104;2;15;4;1;3;0;2.1;0;0;2;10;8;0.4;10;;;200;30;0;0.05;;0.1;0;5;0;;16;;0.9;14.1;8;15,
Aardappel, rijst, pasta;Rostirondjes rauw;Rosti rounds raw;stuks;30;104;2;15;4;1;3;0;2.1;0;0;2;10;8;0.4;10;;;200;30;0;0.05;;0.1;0;5;0;;16;;0.9;14.1;8;15,
Aardappel, rijst, pasta;Spaghetti gekookt mz;Spaghetti cooked mz;portie;90;94;3;19;1;0;0;0;0.2;0;0;0.6;150;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Spaghetti gekookt zz;Spaghetti cooked zz;portie;90;94;3;19;1;0;0;0;0.2;0;0;0.6;2;10;0.4;11;1;0.3;19;41;0;0.03;0.01;0.02;0;0;0;0.1;6;0.6;1.8;17.5;12;13.2,
Aardappel, rijst, pasta;Spaghetti rauw;Raw spaghetti;gram;1;350;12;71;2;0;2;0;0.7;0;0;2;5;15;2;57;16;1.6;100;125;0;0.1;0.06;0.08;0;0;0;0;8;2;5;66;48;10.4,
Aardappel, rijst, pasta;Spaghetti volkoren rauw;Whole wheat spaghetti raw;gram;1;314;11;62;3;0;2;0;1;0;0;11;0;40;3.3;120;53;3;500;405;0;0.48;0.14;0.4;0;0;0;0.3;7;6.2;2.3;59.8;44;36.8,
Aardappel, rijst, pasta;Tajer rauw;Tajer raw;eetlepel punt;45;112;1;26;0;0;0;0;0;0;0;3.5;4;25;0.8;33;;1.3;360;58;0;0.08;0.03;0.08;0;13;0;2.4;15;0.7;1.1;25.1;6;41.4,
Aardappel, rijst, pasta;Tomatenrijst gekookt mz;Rice cooked tomatoes mz;;;147;3;33;0;0;0;0;0.1;0;0;0.5;150;14;0.4;7;1;0.49;17;40;0;0.02;0;0.03;0;0;0;0.1;21;0.9;0;32.7;12;12.9,
Aardappel, rijst, pasta;Tomatenrijst gekookt zz;Rice cooked tomatoes zz;gram;1;147;3;33;0;0;0;0;0.1;0;0;0.5;3;14;0.4;7;1;0.49;17;40;0;0.02;0;0.03;0;0;0;0.1;21;0.9;0;32.7;12;12.9,
Aardappel, rijst, pasta;Tomatenrijst rauw;Raw Tomato Rice;gram;1;349;7;78;1;0;1;0;0.4;0;0;1.3;2;10;0.4;13;10;1.3;100;100;0;0.04;0.03;0.12;0;0;0;0.1;20;1;0;78;28;14.3,
Aardappel, rijst, pasta;witte / wilde rijst gekookt mz;white / wild rice cooked mz;groentelepel punt;55;147;3;33;0;0;0;0;0.1;0;0;0.5;150;14;0.4;7;1;0.49;17;40;0;0.02;0;0.03;0;0;0;0.1;21;0.9;0;32.7;12;12.9,
Aardappel, rijst, pasta;witte / wilde rijst gekookt zz;white / wild rice cooked zz;groentelepel punt;55;147;3;33;0;0;0;0;0.1;0;0;0.5;3;14;0.4;7;1;0.49;17;40;0;0.02;0;0.03;0;0;0;0.1;21;0.9;0;32.7;12;12.9,
Aardappel, rijst, pasta;witte en wilde rijst rauw;raw white and wild rice;kopje;120;349;7;78;1;0;1;0;0.4;0;0;1.3;2;10;0.4;13;10;1.3;100;100;0;0.04;0.03;0.12;0;0;0;0.1;20;1;0;78;28;14.3,
Aardappel, rijst, pasta;Yam rauw;Raw yam;stuks;150;122;2;28;0;0;0;0;0.1;0;0;1.3;2;15;0.7;15;1;0.3;380;27;0;0.16;0.01;0.16;0;4;0;4.6;8;0.2;0.7;27.5;6;18,
Aardappel, rijst, pasta;Zilvervliesrijst gekookt mz;Brown rice cooked mz;groentelepel punt;60;119;3;24;1;0;1;0;0.5;0;0;1.4;150;8;0.6;46;9;0.9;99;140;0;0.1;0.04;0.09;0;0;0;0.2;5;1.3;0;23.6;12;45.2,
Aardappel, rijst, pasta;Zilvervliesrijst gekookt zz;Brown rice cooked zz;groentelepel punt;60;119;3;24;1;0;1;0;0.5;0;0;1.4;9;8;0.6;46;9;0.9;99;140;0;0.1;0.04;0.09;0;0;0;0.2;5;1.3;0;23.6;12;45.2,
Aardappel, rijst, pasta;Zilvervliesrijst rauw;Brown rice raw;kopje;90;351;8;74;3;1;2;0;1;0;0;3;1;12;1.3;157;2;0.8;250;300;0;0.34;0.03;0.25;0;0;0;0.8;36;6.1;1;71;33;36.1,
Boter, margarine, olie, vet;Bak/braadv vl 97% et<17g vv;Bake / vl braadv 97% and <17g vv;theelepel;2;881;1;1;97;12;85;0.8;45.6;3;0;0;387;;;;;;;;843;0;0;0;0;0;12.2;34;;0;1;0;4;
Boter, margarine, olie, vet;Bak/braadv vl 97% et>17g vv;Bake / vl braadv 97% and> 17g vv;klontje;13;875;0;1;97;38;59;1.3;21.4;65;0;0;323;1;0;0;1;0;4;2;802;0;0;0;0;0;8.9;21;;0;1;0;0;
Boter, margarine, olie, vet;Bak/brvet v70-80%vet>17g vv;Bake / brvet v70-80% fat> 17g vv;eetlepel punt;13;689;0;0;77;25;52;1;22.5;0;0;0;400;7;0;;;;23;;775;0;0;0;0;0;7;16;;0;0;0;0;
Boter, margarine, olie, vet;Becel Pro.activ;Flora pro.activ;beleg (dik);8;330;0;4;35;8;27;0.5;13.3;1;0;0.2;20;;;;;;8;;800;;;;;;7.5;43;;;0;3.7;0;
Boter, margarine, olie, vet;Boter gezouten;Salted butter;broodbeleg;8;737;1;1;81;53;29;3.5;0.9;221;0;0;400;21;0.1;2;1;0.08;27;22;866;0.01;0.03;0;0;0;1.2;2.5;0;0;1.1;0;0;31.4
Boter, margarine, olie, vet;Boter halfvol;Butter half full;beleg (dik);8;337;0;1;37;22;15;1.6;0.4;97;0;0;145;11;0.1;1;;0;32;40;372;0;0;0;0;0;0.6;0.8;0;0;0.7;0;0;133.3
Boter, margarine, olie, vet;Boter ongezouten;Unsalted butter;beleg (dik);8;737;1;1;81;53;28;3.5;1;221;0;0;5;17;0.1;2;1;0.09;27;23;867;0.01;0.03;0;0;0;1.2;1.9;0;0;1.1;0;0;32.9
Boter, margarine, olie, vet;Frituurvet vast >24g v v;Solid fat> 24g v v;gram;1;900;0;0;100;49;51;2.4;10.2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Boter, margarine, olie, vet;Frituurvet vast gemiddeld;Fixed average fat;eetlepel;15;899;0;0;100;43;57;9.1;9.8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Boter, margarine, olie, vet;Frituurvet vloeib <24g v v;Frying vloeib <24g v v;eetlepel;15;900;0;0;100;12;88;0.8;35.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Boter, margarine, olie, vet;Halvarine;Spreads;beleg (dik);8;363;0;1;40;10;30;0.8;12.9;1;0;0.2;193;;;;;;100;;768;0;0;0;0;0;7.2;11.2;;0;0.1;1.1;4;
Boter, margarine, olie, vet;Halvarine 35% vet <10 g v v;35% fat spreads <10 g v v;beleg (dik);8;316;0;0;35;8;27;0.9;14;1;0;0;10;7;;;;;44;6;869;0;0;0;0;0;7.9;12.7;;0;0;0;1;30
Boter, margarine, olie, vet;Halvarine 35%vet;35% fat spreads;beleg (dik);8;259;3;6;25;6;19;1;5.1;;0;0;120;10;;2;;;16;14;800;0;0;0;0;0;7.5;11;;0;0;6;10;5.6
Boter, margarine, olie, vet;Halvarine Becel Pro.activ;Flora pro.activ spreads;beleg (dik);8;330;0;4;35;8;27;0.5;13.3;1;0;0.2;20;;;;;;8;;800;;;;;;7.5;43;;;0;3.7;0;
Boter, margarine, olie, vet;Halvarine Benecol light;Benecol Light spreads;beleg (dik);8;318;3;0;34;8;26;0.2;;;0;0.8;100;;;;;;;;750;;;;;;7.2;;;;0.2;0;11;
Boter, margarine, olie, vet;Halvarine dieet-;Spreads diet;beleg (dik);8;259;3;6;25;6;19;1;5.1;;0;0;120;10;;2;;;16;14;800;0;0;0;0;0;7.5;11;;0;0;6;10;5.6
Boter, margarine, olie, vet;Halvarine Goede Start BlueB;Spreads BlueB Good Start;beleg (dik);8;365;0;6;38;12;26;1;11.5;0;0;0;120;600;;;;;;;800;1.4;1.6;2;1;;6.3;25;;;0.3;5.3;0;
Boter, margarine, olie, vet;Halvarineproduct 40 % vet;40% fat spreads Product;beleg (dik);8;363;0;1;40;10;30;0.8;12.9;1;0;0.2;193;;;;;;100;;768;0;0;0;0;0;7.2;11.2;;0;0.1;1.1;4;
Boter, margarine, olie, vet;mais-olie;corn oil;desertlepel;7;900;0;0;100;13;87;0;54.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.2;0;0;0;0;0;
Boter, margarine, olie, vet;Maiskiem-olie;Corn germ oil;eetlepel punt;10;900;0;0;100;13;87;0;54.2;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;
Boter, margarine, olie, vet;Margarine;Margarine;beleg (dik);8;719;0;0;80;33;47;0.9;15.9;3;0;0;331;;;;;;;;840;0;0;0;0;0;7.2;8;;0;0;0;0;
Boter, margarine, olie, vet;Margarine (pakje);Margarine (packet);pakje;;719;0;0;80;33;47;0.9;15.9;3;0;0;331;;;;;;;;840;0;0;0;0;0;7.2;8;;0;0;0;0;
Boter, margarine, olie, vet;Margarine 60% vet <17g v v;Margarine 60% fat <17g v v;beleg (dik);8;541;0;0;60;13;48;0.8;25;2;0;0;7;7;;;;;22;;800;;;;;;7.5;20;;;0.2;0;4;
Boter, margarine, olie, vet;Margarine 70% vet <17g v v;Margarine 70% fat <17g v v;beleg (dik);8;634;0;1;70;14;56;1;25.2;1;0;0;72;;;;;;;;819;0;0;0;0;0;7.9;17;;0;1;0;0;
Boter, margarine, olie, vet;Margarine 70% vet >17g v v;Margarine 70% fat> 17g v v;;;630;0;0;70;20;50;1;30;2;0;0;130;;;;;;;;806;0;0;0;0;0;6.2;8;;0;0;0;0;
Boter, margarine, olie, vet;Margarine 80%vet 17-24g v v;Margarine 80% fat 17-24g v v;beleg (dik);8;720;0;0;80;19;61;0.7;22.4;;0;0;233;;;;;;;;814;0;0;0;0;0;7.2;;;0;0;0;0;
Boter, margarine, olie, vet;Margarine Benecol sm/bak;Benecol margarine sm / bin;;;561;0;1;62;16;46;0.3;;;0;0.1;10;;;;;;;;750;;;;;;7.2;;;;0.5;0;1;
Boter, margarine, olie, vet;Margarine vl 80%vet <17g v v;80% fat margarine vl <v 17g v;eetlepel punt;13;734;0;0;82;9;73;0.9;25.1;5;0;0;407;1;0;;;;0;;764;;;;0;;8;22;;;0.1;0;0;
Boter, margarine, olie, vet;Olie alle soorten;All types of oil;portie;7;894;0;0;99;15;84;0.3;51.8;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;28.4;0;0;0;0;1;
Boter, margarine, olie, vet;Olie arachide-;Peanut oil;eetlepel punt;10;900;0;0;100;18;82;0.1;30.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.2;0;0;0;0;0;
Boter, margarine, olie, vet;Olie Becel;Oil Flora;eetlepel punt;10;900;0;0;100;12;88;1;64.3;2;0;0;0;0;0;0;;0;0;0;4;0;0;0;0;0;;62;0;0;0;0;0;
Boter, margarine, olie, vet;Olie zonnebloem-;Sunflower oil;desertlepel;7;898;0;0;100;12;88;0;62.1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0.2;1;
Boter, margarine, olie, vet;Olijfolie;Olive oil;eetlepel punt;10;900;0;0;100;14;86;0;7.4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5.1;0;0;0;0;0;
Boter, margarine, olie, vet;Roomboter gezouten;Salted butter;broodbeleg;8;737;1;1;81;53;29;3.5;0.9;221;0;0;400;21;0.1;2;1;0.08;27;22;866;0.01;0.03;0;0;0;1.2;2.5;0;0;1.1;0;0;31.4
Boter, margarine, olie, vet;Roomboter halfvol;Butter half full;beleg (dik);8;337;0;1;37;22;15;1.6;0.4;97;0;0;145;11;0.1;1;;0;32;40;372;0;0;0;0;0;0.6;0.8;0;0;0.7;0;0;133.3
Boter, margarine, olie, vet;Roomboter ongezouten;Unsalted butter;beleg (dik);8;737;1;1;81;53;28;3.5;1;221;0;0;5;17;0.1;2;1;0.09;27;23;867;0.01;0.03;0;0;0;1.2;1.9;0;0;1.1;0;0;32.9
Boter, margarine, olie, vet;Rundervet uitgesmolten;Rendered beef fat;theelepel;5;891;0;0;99;50;49;3.2;2.4;60;0;0;0;0;0;0;0;0.76;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0;
Boter, margarine, olie, vet;Saffloer-olie;Safflower oil;eetlepel punt;10;900;0;0;100;10;90;0;71.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40.7;0;0;0;0;0;
Boter, margarine, olie, vet;Slaolie;Salad oil;portie;7;894;0;0;99;15;84;0.3;51.8;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;28.4;0;0;0;0;1;
Boter, margarine, olie, vet;Smeltjus onbereid pakje;Smeltjus uncooked package;klontje;13;650;1;4;70;38;32;1;8.5;1;0;0;1.366;;0.2;;;0.26;;;0;;;;0;;0;11;0;;0.5;3.5;4;
Boter, margarine, olie, vet;Soja-olie;Soybean oil;portie;7;894;0;0;99;15;84;0.3;51.8;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;28.4;0;0;0;0;1;
Boter, margarine, olie, vet;Varknesvet uitgesmolten;Varknesvet rendered;theelepel;5;900;0;0;100;48;52;3.5;6.9;60;0;0;0;0;0;0;0;0.5;0;0;9;0;0;0;0;0;1.5;0;0;0;0;0;0;
